index,sp600,sp100,r^2,beta
582,AAN,UNP,0.8942087491,0.1673155097
72,BANF,UNP,0.8936784565,0.6335892952
591,ANGO,KO,0.8932843207,0.7117829984
363,MD,KO,0.8926918725,0.8112575566
362,FIZZ,WBA,0.8919053169,1.198655433
82,CEIX,XOM,0.8907098981,1.256835288
490,FLGT,KO,0.8907001168,1.354457447
487,SLP,WBA,0.8890836294,0.872989553
593,ENTA,UNP,0.8890634289,0.2613788709
286,KN,LLY,0.8881192739,-0.04679022736
110,OII,XOM,0.8865588868,0.4678795119
136,AX,BLK,0.8858409211,0.08818814393
482,EZPW,UNP,0.8856559289,0.04350646806
433,BHE,GD,0.8856073891,0.2320450589
311,SGH,AAPL,0.8854251184,0.1562836065
359,HRMY,WMT,0.8846278204,0.8607059854
64,AWR,WBA,0.8839755931,0.9041022455
46,CYTK,IBM,0.8834671015,0.5146054238
1,FIX,MA,0.8831008235,0.4264201363
86,WDFC,CVX,0.8823896517,-1.989534406
101,BRC,CVX,0.8816420931,0.8170361236
280,WAFD,COF,0.8813581831,0.4188077176
171,TRN,UNP,0.8811828433,0.1278332737
218,SIX,INTC,0.8808796625,0.5722517337
180,SNEX,UNP,0.8806018308,0.3879433956
238,CENTA,UPS,0.880549875,0.2103225279
376,UNFI,KO,0.8804509947,0.9905562572
293,EAT,WBA,0.8799637027,0.6530766509
182,CRVL,WBA,0.8792524534,3.881264455
500,GDOT,UPS,0.8791359925,0.1333319518
531,HSII,UNP,0.8775097165,0.2059527884
382,MNRO,LLY,0.8772598008,-0.0800503274
44,NOG,COP,0.8758121879,0.3221241729
23,CIVI,COP,0.8754839099,0.7459500751
413,VIR,LLY,0.875112625,-0.04753307245
229,GSHD,MMM,0.8742169001,1.335875551
570,OPI,GD,0.8728865005,0.1736008003
423,HAIN,COP,0.8718890518,-0.2995891616
545,RGP,NKE,0.8710049457,0.1280513024
527,CTKB,WBA,0.8708827731,0.2545042374
256,PLAY,UNP,0.8706512406,0.3410110592
215,SONO,WBA,0.8706373823,0.1236145829
396,ICHR,TMO,0.8699737922,0.1094255532
364,SLCA,XOM,0.8687322204,0.1571064094
562,AVD,CRM,0.8681241128,-0.1222307896
348,IRWD,WBA,0.8680297094,0.202049176
